S.NO,tweet,sentiment
623,nazi ukrain invas look peopl world govern fund grow cost httpstco3uimc8obcv,positive
624,eslemanabayi join matinyarar call breakthesil end illeg u sanction peo httpstcoyfs9ssfxic,positive
625,virtu signal gullibl blacklivesmatt biggest scam httpstcocz17pena3o,positive
626,say name kisha arron 20160417 blacklivesmatt,positive
627,justic way weallbelongtoeachoth blacklivesmatt httpstcojtk8v0ri5n,positive
628,ding ding ding pennstat blacklivesmatt justiceforal,positive
629,activist march downtown minneapoli friday protest decis charg minneapoli polic httpstcobumrhrcbid,positive
630,thehil potu vp speakerpelosi theblackcaucu repair damag countri inflict still infli httpstcocbyvexurax,positive
631,hey human peac everyon yeh rich peaceisachoic putdownyourgun actonclim breath breath httpstco9oy49xvdja,positive
632,year ago cowork say amus perplex saw someon say black live matter httpstcoyqqho78xeu,positive
633,dumb polic ruin black man livelihood blacklivesmatt httpstcoiwklrrleff,positive
634,two year death georgefloyd amirlock shot kill minneapoli polic offic plea co httpstcodxs91qighz,positive
635,lewishamilton cri car let finish 3rd blacklivesmatt f1,positive
636,sat aug 15 2020 chicago illinoi polic pepper spray protest watch httpstcochszjssxjd chicagoillinoi httpstco4y8aibgza7,positive
637,audio black live matter mprisondpoetz prison prisonart poet jailpoetri prisonerpoet httpstcowm8ryahajd,positive
638,isriramseshadri blacklivesmatt asham see kind ugli human live societi isriramseshadri,positive
639,lridgeway14 jdabre11 mpleasing72 blacklivesmatt bio lmfaooooo,positive
640,time defundthesouthsalempolic blacklivesmatt,positive
641,see say god watch stay posit keep faith remain hopefu httpstco3rzojbzt5w,positive
642,mysterysolv blacktwitt blacklivesmatt dont know,positive
643,robert lawrenc white blacklivesmatt,positive
644,tanisha anderson bad mental health episod brother call 911 saytheirnam blacklivesmatt,positive
645,phumlanimmajozi black san like black american still discrimin amp subject racism countri httpstco6mialmsafb,positive
646,anoth polit parti campaign nation elect sat good chat feder member ab httpstcocpl5ladcpi,positive
647,ding ding pennstat blacklivesmatt justiceforal,positive
648,patriss cullor investig fbi blm blacklivesmatt,positive
649,ketso 4life ive learnt mzansi full domkop long ago blacklivesmatt black kill black,positive
650,someth differ deadpresidentsmovi artist artistontwitt blacklivesmatt oilpaint httpstcopxavkk9wr6,positive
651,ppl cancel u cancel chri hypocrit academi httpstcoi7z5f9wxc2,positive
652,god father jesu lord sky see happen news past help u put stop httpstcomzjjfiaujk,positive
653,time defundthesiasconsetpolic blacklivesmatt,positive
654,mayb go back brooklyn poor saint blacklivesmatt activist attack jew almost everyday,positive
655,told asshol say blm white man asshol stand polic brutal httpstco6x1mvfjybd,positive
656,plea help return jami henri safe home familysh last seen kennesaw georgiapleas retweet httpstcooxmrnpb22n,positive
657,dj name kevin refus play httpstcok5boxzsiv8 song mebut play g httpstcou4dv4nycu2,positive
658,sun may 31 2020 minneapoli minnesota polic stop suv drivebi pepperspray protest window watch httpstco3qgu8lklwk,positive
659,cinderspook morganfailchild 100 ya beyond pervas pandem tra la la vibe ive httpstcoqk4njjqtrn,positive
660,33 play whatev hip hop ramp b request white dancer httpstcok5boxzsiv8 song appar httpstcose36kbnst4,positive
661,hous drove stand ukrain blacklivesmatt saygay httpstcohzdu50q30z,positive
662,grew part world black commun henc rare see relat news local medi httpstco485uun07mn,positive
663,seri consist photograph son amp mother recreat scene mourn remind georg f httpstcoou7uygskca,positive
664,havent done noth good black peopl ado american queer war terrorist nwo puppet ped httpstcol6fincysyz,positive
665,alreadi say fuck black live matter recent news broke alreadi knew alway httpstcovfgkzrw948,positive
666,f1 hamilton piss u blacklivesmatterbut noth ukrainerussianwar could httpstcoguz7o781yq,positive
667,new episod iamkeemyh featur music beyonc destinyschild chloexhal g httpstco1ffmocqilv,positive
668,patrick harmon blacklivesmatt,positive
669,comedi world movi premiereafricandiaspora blacktwitt hbcu blacktechtwitt blacklivesmatt httpstcolewhpz7ajn,positive
670,new episod iamkeemyh give coupl shout out nextonstageon thatdamn pod check httpstco9kil2yn8xt,positive
671,racist quiet af ufc273 blacklivesmatt,positive
672,new episod alert episod talk iamkeemyh keemi tea day podca httpstco2qhq5remv4,positive
673,ding pennstat blacklivesmatt justiceforal,positive
674,bar mma fight background like watch violenc eye avert know httpstcojhgqvomvgq,positive
675,cop america blacklivesmatt protest black peopl kill x3 httpstcoczuc55pmek,positive
676,experi knowledg network famili priceless ask govern sell httpstcoxxyfbnvb0f,positive
677,f1 fuck engilsh politician blacklivesmatt polit sport war ukrain go httpstco4ky92cyklh,positive
678,ptioffici make tweet hashtag blacklivesmatt 125 million tweet achiev 2 httpstcoaqj84xq10m,positive
679,thought emma watson trend final finish studi issu whether blacklivesmatt,positive
680,saturday dab day blacklivesmatt dabup besaf httpstco3pwaydljsp,positive
681,mon jun 01 2020 vallejo california polic fatal shoot unarm 22 year old watch httpstco2kaxwb75k5 httpstcoxda9ryxeat,positive
682,brittney griner still detain russia bring home brittneygrin blacklivesmatt,positive
683,housemaid cant eat ur kid eat cant sit ur kid sit etc amp ure social medium shout httpstcoxandpstyhu,positive
684,keemstar blacklivesmatt let go keemstar,positive
685,20 year later 97 bp 236 former employe zambia die without paid pension httpstcooct7gicgmr,positive
686,samuel david mallard blacklivesmatt,positive
687,overcom racial inequ must confront histori eji org httpstcoevsylydhec blacklivesmatt criticalracetheori,positive
688,think cop riot gear break climateact protest start beat toss tear ga httpstcowp0jkxho1h,positive
689,proud af exist cruel inhuman amp oppress treatment ancestor went amp bull httpstcoju94yyvfcw,positive
690,look fact hip hop attack hip hop black peopl latino peopl httpstcoie3df8vr1l,positive
691,ding ding ding ding ding ding amp ding ding ding ding ding ding pennstat blacklivesmatt justiceforal,positive
692,wow blew anyth plug say blacklivesmatt transrightsarehumanright stopasianh,positive
693,hypocrit talk know everyon el speak eg blacklivesmatt tri becom sa httpstco6eikefv0m3,positive
694,peopl wan na know black woman bottom aw shit like would anyon wan na httpstcokgkxivtemr,positive
695,know john blank earli black trumpet player henri vii henri viii court 16th httpstco1ivnbphjfi,positive
696,uk identifi anythingliterallyso identifi african even though im ethnic white httpstco8zrkgua4sb,positive
697,uk identifi anythingliterallyso identifi african even though im ethnic white httpstcoixboc3ssr5,positive
698,uk identifi anythingliterallyso identifi african even though im ethnic white httpstcoeqti10o7m9,positive
699,uk identifi anythingliterallyso identifi african even though im ethnic white httpstco3ejiahywsb,positive
700,uk identifi anythingliterallyso identifi african even though im ethnic white httpstcooxpqbojlr1,positive
701,defund camilla polic blacklivesmatt defundthepolic,positive
702,gregori gunn blacklivesmatt,positive
703,sat dec 12 2020 olympia washington polic tear ga left wing protest follow shoot watch httpstco2tz5xbfr8z,positive
704,listen convers classmat smith colleg elisheba talk live north side ch httpstcozdxuwupqik,positive
705,248 treasur trove scatter across street oakland streetart scene 1000 urbanart oakland httpstcocfemz0m0g9,positive
706,katakateri repadamschiff emmanuelmacron first deal first tchad remplac fat httpstcohqil1yxt6x,positive
707,goodnight nerd rememb blacklivesmatt transrightsarehumanright wearamask,positive
708,defund oti polic blacklivesmatt,positive
709,tulsa cop laugh taunt 70yearold black woman mental health httpstcozphash2bdw via youtub httpstco7frrhqctwf,positive
710,otd 1865 fail confeder state america surrend appomattox virginia httpstcolovcaxwagw httpstcozjk7ha9m7x,positive
711,nojusticenopeac right weve got work blacklivesmatt transrightsarehumanright orpol httpstcoi0hl61ohxb,positive
712,never continu ground work give folk work andnew pwx wrestl tag team champion httpstco6x5nadihma,positive
713,hope congress would protect votingright that whole helluvalot u fought hard election2020 httpstcom2luxsazj4,positive
714,ding ding ding amp ding amp ding amp ding ding ding ding ding ding pennstat blacklivesmatt justiceforal,positive
715,anthoni ashford saytheirnam blacklivesmatt,positive
716,right blm blacklivesmatt lgbtq racism,positive
717,black live matter anoth racket blacklivesmatt hypocrisi blackprivileg httpstcogtkhy3yvv7,positive
718,time defundthenewingtonpolic blacklivesmatt,positive
719,grandrapidspd promis peopl grand rapid releas name offic shoot httpstcoprrxpdsoyb,positive
720,powerusaid hrw amnesti powerusaid ukrain day final tweet western tigray 2 httpstcoxzahn04l8m,positive
721,laquan mcdonald blacklivesmatt,positive
722,antirecidiv work end mass incarcer california empow formerli current incarcer httpstcobvzwgi55em,positive
723,soar denim cloud ernest collin collect blackcommun blacklivesmatt blacklov httpstcoo6ml42rm4x,positive
724,power testimoni racism ruin black mental health blacklivesmatt csswmmt22 mmt98 racism ruin httpstcox6kztqodqb,positive
725,tue oct 27 2020 dc washington dc polic deploy tear ga stun grenad watch httpstcotahxbr7l6f httpstcohbpdprnto4,positive
726,aint power like power peopl caus power peopl doesnt stop blacklivesmatt httpstcoyvnepaoxtx,positive
727,check michel obama prevent magazin novemb 2009 httpstcokzdhffo6mh via ebay ebay httpstcoqbsxnhegot,positive
728,seventh novel avail amazon bookstor pick want fastpac thriller httpstcovinvptrhvb,positive
729,hey everyon take moment celebr john boyega blacklivesmatt httpstcohjkzcx8xm6,positive
730,public convers typic twitter either platform enabl discus around major httpstcoxoe2tqxs46,positive
731,defund sheldonpolic blacklivesmatt,positive
732,fatherinlaw made may best contextu hockey joke ever goicehog blacklivesmatt rockford httpstcoviunh0naja,positive
733,jamar clark blacklivesmatt,positive
734,blacklivesmatt gaylivesmatt translivesmatt oppress must unit must stand speak agai httpstcosklfn0finz,positive
735,everyon worri elonmusk money worri blacklivesmatt httpstcoghg8wobym,positive
736,basic black peopl alway victim even victim race blacklivesmatt hypocrisi httpstcoqnlv1qqjm5,positive
737,pb pb news weekend episod april 9 2022 wtpblue demvoice1 american onev1 freshresist httpstcouybilqquui,positive
738,saw pink van drive street final park go nosey jodyer indepen httpstco7pkzpxss2p,positive
739,ding ding ding ding ding ding ding ding ding ding pennstat blacklivesmatt justiceforal,positive
740,jilevin usa racism blacklivesmatt america terror jesuit vatican histori crisi news politicsl httpstcosadv7bvzhj,positive
741,sundomeman sfjaer pastoralexlov biggi blacklivesmatt,positive
742,kill bill volum 1 2003 oren ishii tanaka httpstcoijqszi5fbc via youtub blacklivesmatt httpstcoh1ldjszpxn,positive
743,fam enough medium assault black bodi first time adamscheft httpstcohjqztzvetg,positive
744,addi mae collin saytheirnam blacklivesmatt,positive
745,big educ ape week newblackman exil blm blacklivesmatt httpstco5dtqnkqlg1 httpstco87l3moxb5v,positive
746,werent everi day battl white man could spend rest life read malcolm x httpstco9w6iphnznj,positive
747,httpstcojpkk4m79z5 question racist apologist blm blacklivesmatt vikkisvib gloriem blackfac httpstcockzvccw2lv,positive
748,bbcweather accuweath weatherchannel bbcworld foxnewssunday let murdochguttermedia foxnew amp httpstcotl1vzyp7c3,positive
749,even trump stole two justic one republican senat proud enough stand clap 1st femal b httpstco1rllishhvq,positive
750,northcarolina judgeketanjibrownjackson charlott raleigh wssu highpoint wilmington greensboro concordnc httpstcozgge2jayq,positive
751,joe rogan use nword shrug danger cnn blacklivesmatt httpstcoblylgrvzlg,positive
752,wed jan 20 2021 portland oregon feder offic induc seizur shoot medic watch httpstcoqoadzsyx3h httpstconcupudbcp6,positive
753,democraticbear chuck todd use overdrawn check account meetthepress msnbc httpstcoptwdokaj6d,positive
754,black woman get evict highest rate across unit state protectblackwomen httpstcopn97k6p0sd,positive
755,democraticbear chuck todd use overdrawn check account meetthepress msnbc httpstcofcjjrdcmhl,positive
756,musket twitch commun live rainbow6gam madmusketeertv xbox xboxambassador httpstco8f5sfjceer,positive
757,introduc doxxer video made sad httpstconahf7bydeg blm blacklivesmatt blackfac n httpstcomjdfxi8vrc,positive
758,usambun back deepli grave infuriatingli amp jaw droopingli troubl statement lead white httpstcoc4pvgfufah,positive
759,defund sodu point polic blacklivesmatt,positive
760,somehowjacob hide support blacklivesmatt,positive
761,judgeketanjibrownjackson justiceketanjibrownjackson scotusconfirm southcarolina northcarolina wor httpstcoyw1ak7elkm,positive
762,know know need best friend trumpcoupattempt trumprallync httpstcodfxlzstuqw,positive
763,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcouqabxmbbtp,positive
764,paint done around mlk birthday black man must wash foot neg endur httpstcooyg9le1qb3,positive
765,thread 1801 although great find part someth big wasnt accid yahw httpstcorpfaid0iqr,positive
766,repvaldem bodi camera racist catch innoc bipoc angel attack nasti racistpig cop comm httpstcosppw1jlwp,positive
767,saw white peopl tv heard radio amp read paper wo ever interac httpstcohtqheorbu,positive
768,say name alton fitzgerald witchard 20160507 blacklivesmatt,positive
769,ding ding ding ding amp ding ding ding ding ding pennstat blacklivesmatt justiceforal,positive
770,interview opal tometi blacklivesmatt everi 28 hour black person unarm murder u httpstcodzdgrwp4op,positive
771,throughout war never heard slaveri mention issu union union fight httpstcodoxixmseir,positive
772,mariesiobsbhndi gop democrat ran blacklivesmatt 2020 immedi turn backtheblu bla httpstco59ss0ur1kv,positive
773,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstco4rrmiqrcno,positive
774,homophob abus dog highli doubt rest power blacklivesmatt blacktranslivesmatt httpstcog0kltdvejn,positive
775,black man 10 command 7 must read thetencommand blacktwitt blacklivesmatt httpstcou808wmwkq0,positive
776,anybodi explain ok n word drop covid misinform spread racist joerogan still b httpstcoz73oi6c8g2,positive
777,seventh novel avail amazon bookstor pick want fastpac thriller httpstcohypqmy6fbu,positive
778,violenc peopl color peopl color time high challeng blm blacklivesmatt httpstco6nnxjzbrrl,positive
779,check free event host carleton u partnership ottcatholicsb special guest httpstcoxng7en0atr,positive
780,thread 1801 yahweh put cur world 2019 man houston tx found cur tablet c httpstcotmtw0sip6i,positive
781,appar white indian chine south african black zimbabw can not owkay carri httpstcolxt9mg7mfu,positive
782,bbcweather 9 accuweath 10 weatherchannel 10 bbcworld pmimrankhan cnn let murdochguttermedia httpstcolkysiynpi,positive
783,submit film comedi drama anim documentari horror covid19 blacklivesmatt climatechang httpstcovfzwrh4bia,positive
784,sun aug 23 2020 portland oregon polic respond vandal firework tear ga watch httpstcodlofdf7blg,positive
785,black man 10 command 7 blacktwitt blacklivesmatt thetencommand httpstcogfrsz6n5ah,positive
786,check goldielocs420 video tiktok httpstcosevcwrnat3 fact tobyobums blacktwitt blacklivesmatt,positive
787,im racist racism crime black peopl blacklivesmatt,positive
788,theyr wrong color blacklivesmatt httpstcojwnckgu1bp,positive
789,defund humansvil polic blacklivesmatt defundthepolic,positive
790,go standwithtigray ethiopia tigrayanlivesmatt blacklivesmatt endtigraysieg httpstco5pnvf2e5pj,positive
791,maddow bitcoin cnn elizabethwarren manchin covid 19 msnbc greennewd nyc blacklivesmatt aoc httpstcoyvkzh3nucc,positive
792,vonderleyen zelenskyyua great pull ukrain go stand tigray httpstcozynkrqtz2,positive
793,either cnn host chriswallac know histori think nhannahjon shouldnt discus america httpstconzxij79a9p,positive
794,adamscheft prove today even death peopl still drag black man name dewaynehaskin httpstcova31aeuprl,positive
795,tamir rice blacklivesmatt,positive
796,fuck blacklivesmatt httpstcocmai7thaok,positive
797,great pull ukrain go stand tigray ethiopia httpstcooqcylzu7rk,positive
798,bbcweather accuweath weatherchannel bbcworld pmimrankhan let murdochguttermedia foxnew httpstcozxsnh8hv3z,positive
799,bbcweather accuweath weatherchannel bbcworld pmimrankhan let murdochguttermedia foxnew httpstcolh4viiushk,positive
800,ig thot got kill black man immedi taken mental health facil kill guess httpstcoptn4enufha,positive
801,ding ding ding ding ding ding ding ding pennstat blacklivesmatt justiceforal,positive
802,trust negro southern state sacr respons privileg right suffra httpstcoplln38ymv,positive
803,cobums white woman miami abl kill black man name christian obums savag stab httpstcoj7fmdnuqko,positive
804,borisjohnson zelenskyyua warn fuck citizen liveswtf game play got like 100 broth httpstcoernx6epicu,positive
805,presid trump vow demand justic jan 6 prison full protect civil right like wa httpstcoagwtjhlwfi,positive
806,hey question come heard anybodi say alllivesmatt respons ukrain problem l httpstcokylfsmztdj,positive
807,insid sprawl 6m mansion blm reportedli bought donat fund blacklivesmatt losangel httpstcoma2rg00iz2,positive
808,near protocol block african american voic shame blacklivesmatt near protocol crypto discrimin httpstcodykd57k315,positive
809,sign bit earli even still bit weather wish peac night sleep httpstconimpp86btj,positive
810,think dc marvel blatantli steal other charact kind crazi kind american way httpstco0zmgyctnuo,positive
811,sign even wish peac night sleep goodnight blacklivesmatt httpstcojib6dcnrwh,positive
812,blacklivesmatt experienc racial tribal nepot like point life build httpstcoi5mzjpv6p,positive
813,stop scroll first person ever excecut electr chair 14 year old georg stinney jr httpstcowfbkaz46ji,positive
814,ahmaud arberi blacklivesmatt,positive
815,bbcweather accuweath weatherchannel bbcworld pmimrankhan let murdochguttermedia foxnew amp httpstcoegttjyjpjf,positive
816,stop scroll first person ever excecut electr chair 14 year old georg stinney jr httpstcopjtwreduqj,positive
817,somewher 900 1100 peopl shot kill polic unit state year httpstco2ucoaletxz,positive
818,bbcworld france24 foxnew even geniu explain javanka made 64o million 4 year di httpstcorzz7whtcxr,positive
819,thu jul 16 2020 new york citi new york blm protest beaten arrest scuffl propolic protest httpstcoyzzgtfk6mb,positive
820,white supremist push cannib missionari religion christian india talk cast alway ac httpstco3qqm5o24ti,positive
821,bbcworld foxnew cnn wonder geniu explain javanka made 64o million 4 year httpstcojjv3rcm1ir,positive
822,presid donald trump ralli live selma nc 4922 httpstconml68q5ccd via youtub wethepeopl httpstcogowrzuqmli,positive
823,bbcweather accuweath weatherchannel bbcworld pmimrankhan let murdochguttermedia foxnew httpstcowcuexvbc0r,positive
824,bbcweather accuweath weatherchannel bbcworld pmimrankhan let murdochguttermedia foxnew httpstconsst5ckbqp,positive
825,blacklivesmatt metoo ketanjibrownjackson someon explain scientolog white religon essenti httpstcozvs8whnvmc,positive
826,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcokwwtyxq4j8,positive
827,bbcweather accuweath weatherchannel bbcworld pmimrankhan let murdochguttermedia javanka foxnew httpstcodzaopsvclx,positive
828,bbcweather accuweath weatherchannel bbcworld pmimrankhan let murdochguttermedia foxnew httpstco6ybv1e7gjd,positive
829,bbcweather accuweath weatherchannel bbcworld pmimrankhan let murdochguttermedia foxnew amp httpstcoegdlqn7nlc,positive
830,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcof76f7bnwe,positive
831,didnt stab death post onlyfan world see includ famili mi httpstconbgu3hivpt,positive
832,bbcweather accuweath weatherchannel bbcworld pmimrankhan let murdochguttermedia foxnew httpstcouzbhnit6mo,positive
833,civilright abus uspsdejoy 2018 2021 post offic covertli surveil custom identifi peop httpstcouskfg4r6mc,positive
834,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstco0pdsm74q7o,positive
835,bbcweather accuweath weatherchannel bbcworld pmimrankhan let murdochguttermedia foxnew httpstcorlrxobn4b9,positive
836,nice job bruce level newsmax tv tonight fraud blacklivesmatt show money w host httpstcoswakauu6yd,positive
837,stop restrict human right freedom item make uncomfort understand httpstcofnrrvm4epa,positive
838,miamibeach florida blm blacklivesmatt covid day girlsgonewild httpstcotsbjis7abw,positive
839,david mcate saytheirnam blacklivesmatt,positive
840,propos establish autonom woman provinc submiss 1 program new black nationst httpstcommyo2oaycn,positive
841,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcomjcjf18zlt,positive
842,putin orwellian emul httpstco49508fnraf via palmerreport votebluetosaveamerica bluewav httpstconliztlvab6,positive
843,jwillflem johndoe42000000 amosbhuron clear dont give shit org httpstcoow4jiddcef,positive
844,morningread subject australia talk abus aborigin woman deepli embedd httpstcowxxir1uqpz,positive
845,yimbyact kyrakaz alysacisnero yimbi nimbus loveislov aandrewzzzz alway say httpstcoxkbumidyrv,positive
846,bruce level said black live matter day 1 fraud trumpral trumprallync trumpncral selma httpstcomzgdrcnvvg,positive
847,25yearold black tran woman murder near philli name miialovepark campaign terror targetin httpstcoml0dwgdkz5,positive
848,black beauti univers bless soul blackhistoryandconnect black blackexcel httpstcoybtkreyxqb,positive
849,offer xtra blm woman high top canva shoe 8699 blacklivesmatt blm httpstcoao4xg3xifq,positive
850,ding ding ding ding ding ding ding pennstat blacklivesmatt justiceforal,positive
851,knew blacklivesmatt long time ever didnt care black famili granddaught dark eboni,positive
852,dwayn haskin tragic pas away get disrespect racist white men gt httpstco4ychadokoj httpstcodosydse4c6,positive
853,shock entir messag church sabbath church hypocrit hypocrit youtub li httpstcoxcknh8zut9,positive
854,thegoodnegro1 usatodayopinion parisdennard thedemocrat therev repmaxinewat think lash httpstcoovgrqurlrf,positive
855,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstco4nk79visv9,positive
856,uk identifi anythingliterallyso identifi african even though im ethnic white httpstco76h1cnrjmn,positive
857,jd nc 704 willlewistv queen citi news white peopl racistamp white peopl fall categoryw httpstcomhqvmtffdf,positive
858,2nd trip israel grow tie blacklivesmatt palestin httpstcolgv9gwuhzj httpstcoko32rjnzcp,positive
859,japanes allow violenc black blacklivesmatt covid19,positive
860,cancelhr6600 grow bodi research show econom sanction dire consequ human popul httpstcoxrquztaieu,positive
861,luigidimaio right condemn russia war crime marinasereni keep fund abiyahmedali vi httpstcocaazb2sjti,positive
862,fatbellybella organ texa jam health fair dalla tx june 18 theme blacklivesmatt httpstcoxzg56enkjz,positive
863,serenawilliam organ texa jam health fair dalla tx june 18 theme blacklivesmatt httpstco7ktpiieivm,positive
864,russiawarcrim amp abiyahmedali 500daysoftigraygenocid must condemn level italymfa httpstcosqqln7xigm,positive
865,wed sep 16 2020 rochest new york polic charg protest without warn watch httpstcopfycm1bxx3 httpstcotmw7arpezb,positive
866,assault bad seem appli black peopl accord institut doesnt sexual assault especial httpstcoauxngkehvu,positive
867,mikeabrusci meanwhil 500k peopl die tigray ethiopia due ongo ethnic clean million httpstco9sjr2poyhj,positive
868,blacklivesmatt buy mansion 6 million dollar httpstcoyljfiske9l httpstcoi28k1yp379,positive
869,ezel ford saytheirnam blacklivesmatt,positive
870,loveyblue727 blacklivesmatt chrisrock,positive
871,nftcollector nftcommun nftartist nftwhale womeninnft nftartist nftdrop nft nft art httpstco1yt4jnt95q,positive
872,saw selma trend 45 ralli thank god nc found alabama ang httpstcogw9jrng3qv,positive
873,otd 1865 fail confeder state america surrend appomattox virginia httpstcohn926u1spb httpstcowsv9sewjbp,positive
874,terrenc franklin blacklivesmatt,positive
875,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcoxgsbrat3sv,positive
876,hatti mcdaniel first african american win nomin academi award 1939 oscar httpstcokvjre9ypfu,positive
877,candi gusher 1400 great ticket plea get payment readi place order plea text exa httpstcomhejkzpl8o,positive
878,blm blacklivesmatt marxist terrorist organ httpstcoi0dqqqyyxh,positive
879,patriottak meidastouch someth save bibl bibl racist racism satan httpstcoze1jffwqao,positive
880,ding ding ding ding ding ding pennstat blacklivesmatt justiceforal,positive
881,nott vlog news nottingham blacklivesmatt protest httpstcog3o148qxf5 blacklivesmatt blm racism,positive
882,jame n powel jr saytheirnam blacklivesmatt,positive
883,calypso lover tonight 8pm11 pm eastern trevor wilkinscalypso show 915 fm wnye onlin httpstcopib3vizgy0,positive
884,time defundtheblackhawkpolic blacklivesmatt,positive
885,demand massiv chang way polic conduct brutal handl tpd citi leadershi httpstconpurgnpzjw,positive
886,find devast news said cant believ realiti biggest fear everi time httpstcovnbuusrbla,positive
887,father interpret watch polic video patricklyoya say shot back head ex httpstcox2u1vulhrm,positive
888,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcococwjbww36,positive
889,today rememb raheem reeder whose life cut short tallahasse polic depart killer cop last year httpstcovdpq78ysha,positive
890,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcoo1guc11enj,positive
891,mon jun 22 2020 de moin iowa polic push shove pepperspray protest watch httpstcoxvn8ypucgu httpstco7qwvmqjai,positive
892,arrest cop kill breonna taylor breonnataylor sayhernam blacklivesmatt,positive
893,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcoiuuzd1x3sc,positive
894,potu scotu gop dnc foxnew cnn antifa blacklivesmatt pontifex copelandnetwork un nato httpstcotezlmpjm9d,positive
895,100 disagre mile black latino mile 2010 latino blood mayb httpstcoe3xt2f2y0,positive
896,black woman sleepov murder one charg black man goe hunt white friend shot nine tim httpstcohhxhihfnhv,positive
897,blacklivesmatt usa black black commun unit state america 2 leo montr al httpstcoj5ezorc4ey,positive
898,defund westlibertypolic blacklivesmatt,positive
899,thought blacktwitt exploit cultur promot blacklivesmatt reason unreason httpstcoiaujgqavp6,positive
900,nytim thank potu show democrat valu action blacklivesmatt firstwomenvp httpstcow30jehhrmr,positive
901,william green blacklivesmatt,positive
902,join matinyarar call breakthesil end illeg u sanction peopl zimbabw httpstconzertpd4wg,positive
903,sky phd priyankachopra seem avaric rule moral privileg indian talk httpstcouskiba9qt3,positive
904,philli florida got pfizer 4 sleepi loopi day im protect hospitalizat httpstcogkkjnswmkf,positive
905,untitl ella watson washington dc 1942 blackcultur blacklov blackisbeauti socialjustic httpstcovj2mygfs,positive
906,ding ding ding ding ding pennstat blacklivesmatt justiceforal,positive
907,david dietrich chair hampton virginia elector board resign facebook post use rac httpstcogxuslnj8oj,positive
908,eric reason pull park spot local chicken fish shop saytheirnam blacklivesmatt,positive
909,blacklivesmatt usa black black commun unit state america leo montr al k httpstco16wcsctspf,positive
910,racism amp doubl standard stink ideolog white sicknessfreewillsmith blacklivesmatt httpstcofyhtt2zv9w,positive
911,seventh novel avail amazon bookstor pick want fastpac thriller httpstcookpocptyp,positive
912,alway kind kind compass worldpeac racism genderequ femin blacklivesmatt httpstcoak3gcesilh,positive
913,blacklivesmatt black histori month everi day httpstcomcgsagcnjw,positive
914,cant believ smith got ban oscar 10 year mani abus predat receiv p httpstcol21xovqrmx,positive
915,entertain medium made bigger push last year diver enough th httpstcolqaff9w7wn,positive
916,due respect fuck repmtg insan conspiraci theori deadli rhetor drip homo httpstcoa2p1uimzur,positive
917,first time similar comment hate skin live blacktwitt blacklivesmatt httpstcoi41wuxoqto,positive
918,anthoni hill blacklivesmatt,positive
919,creat better world hold account first blm blacklivesmatt quot httpstcobrbmmnoclg,positive
920,blacklivesmatt stori get nation attent well inconveni narr httpstcoiza6vsqdfr,positive
921,war monger govern continu genocid oromia antonioguterr celebr fake truce br httpstcogt7kcunqqo,positive
922,sat jul 25 2020 seattl washington violent arrest made near 11th pine watch httpstcoor1lytaatc httpstconaayfztwir,positive
923,bbcworld foxnew wonder geniu explain javanka made 64o million 4 year didnt httpstcoxbb7szynqv,positive
924,potu histor moment justic given life jorgefloid icannottbreath blacklivesmatt,positive
925,would allow happen uk bp plc davidlammi guardianaudio httpstcosnc9wzdde5 httpstcorlsmfdgmgh,positive
926,peopl get affect blacklivesmatt kcpd sgt herb robinson talk racial prof httpstcoxqz28vwt21,positive
927,let come togeth help young one get food proper cloth let donat toward support payp httpstcop2pkjooqhi,positive
928,gil brandt comment haskin prove much racism world even death disgust unc httpstcogqjnzdj3qo,positive
929,liberian girl girlfriend edit michael jackson 1989 sonycbswarn chappellmjjep record youtub httpstcoyoi4kzdk7z,positive
930,vernonjonesga sorri actual believ gay man assur utter complet bull httpstcompzqwgwjph,positive
931,elvisnyathi burnt aliv south african blacklivesmatt fate like georgefloyd time even wors black black hate,positive
932,theroot potu vp speakerpelosi theblackcaucu repair damag countri inflict still infli httpstcovf6djbrzc,positive
933,ding ding ding amp ding pennstat blacklivesmatt justiceforal,positive
934,tiddapag colonis white australia polici reason unconsci bia mani peopl httpstcofrtymd2nud,positive
